x,y,yaw
0.0000,0.0000,0.0000
0.1047,0.0125,0.0676
0.2103,0.0315,0.1210
0.3137,0.0511,0.1554
0.4161,0.0706,0.1684
0.5267,0.0913,0.1785
0.6269,0.1102,0.1816
0.7302,0.1302,0.1882
0.8354,0.1520,0.1985
0.9420,0.1762,0.2144
1.0505,0.2002,0.2160
1.1599,0.2259,0.2257
1.2704,0.2508,0.2232
1.3818,0.2770,0.2278
1.4931,0.3040,0.2369
1.6040,0.3318,0.2400
1.7151,0.3594,0.2442
1.8263,0.3874,0.2438
1.9383,0.4148,0.2421
2.0503,0.4418,0.2369
2.1627,0.4684,0.2348
2.2757,0.4952,0.2336
2.3880,0.5229,0.2408
2.5001,0.5520,0.2490
2.6124,0.5806,0.2481
2.7242,0.6074,0.2373
2.8341,0.6346,0.2441
2.9439,0.6637,0.2541
3.0539,0.6937,0.2610
3.1646,0.7223,0.2554
3.2754,0.7524,0.2628
3.3857,0.7816,0.2591
3.4955,0.8113,0.2616
3.6058,0.8390,0.2504
3.7163,0.8676,0.2539
3.8273,0.8964,0.2544
3.9380,0.9270,0.2658
4.0486,0.9576,0.2683
4.1586,0.9879,0.2664
4.2691,1.0172,0.2639
4.3800,1.0480,0.2684
4.4916,1.0792,0.2718
4.6029,1.1097,0.2669
4.7146,1.1397,0.2649
4.8257,1.1691,0.2594
4.9364,1.1976,0.2565
5.0471,1.2268,0.2554
5.1583,1.2547,0.2504
5.2702,1.2835,0.2509
5.3823,1.3128,0.2560
5.4939,1.3430,0.2610
5.6045,1.3734,0.2660
5.7148,1.4032,0.2629
5.8253,1.4334,0.2675
5.9359,1.4641,0.2698
6.0466,1.4950,0.2702
6.1571,1.5240,0.2606
6.2679,1.5544,0.2661
6.3784,1.5832,0.2562
6.4892,1.6124,0.2587
6.6007,1.6405,0.2489
6.7110,1.6692,0.2555
6.8215,1.6987,0.2589
6.9322,1.7287,0.2626
7.0432,1.7576,0.2565
7.1547,1.7874,0.2605
7.2657,1.8164,0.2567
7.3767,1.8463,0.2610
7.4872,1.8769,0.2685
7.5970,1.9080,0.2714
7.7074,1.9387,0.2717
7.8175,1.9685,0.2644
7.9283,1.9969,0.2566
8.0395,2.0268,0.2611
8.1501,2.0568,0.2648
8.2610,2.0872,0.2643
8.3719,2.1170,0.2649
8.4829,2.1467,0.2610
8.5937,2.1760,0.2613
8.7044,2.2058,0.2603
8.8150,2.2345,0.2578
8.9258,2.2643,0.2609
9.0370,2.2947,0.2657
9.1483,2.3245,0.2609
9.2595,2.3547,0.2654
9.3705,2.3844,0.2616
9.4811,2.4146,0.2658
9.5918,2.4437,0.2575
9.7032,2.4716,0.2504
9.8153,2.5000,0.2499
9.9256,2.5297,0.2608
10.0360,2.5605,0.2665
10.1470,2.5910,0.2679
