x,y,speed
0.0000,0.0000,3.2423
0.1047,0.0125,4.3641
0.2103,0.0315,5.5230
0.3137,0.0511,5.6090
0.4161,0.0706,5.6847
0.5267,0.0913,5.7560
0.6269,0.1102,5.7820
0.7302,0.1302,5.7788
0.8354,0.1520,5.7780
0.9420,0.1762,5.7961
1.0505,0.2002,5.8204
1.1599,0.2259,5.8489
1.2704,0.2508,5.8699
1.3818,0.2770,5.8793
1.4931,0.3040,5.8877
1.6040,0.3318,5.8987
1.7151,0.3594,5.9082
1.8263,0.3874,5.9078
1.9383,0.4148,5.9012
2.0503,0.4418,5.8924
2.1627,0.4684,5.8757
2.2757,0.4952,5.8549
2.3880,0.5229,5.8373
2.5001,0.5520,5.8286
2.6124,0.5806,5.8189
2.7242,0.6074,5.8209
2.8341,0.6346,5.8308
2.9439,0.6637,5.8585
3.0539,0.6937,5.8802
3.1646,0.7223,5.9021
3.2754,0.7524,5.9105
3.3857,0.7816,5.9054
3.4955,0.8113,5.8883
3.6058,0.8390,5.8776
3.7163,0.8676,5.8635
3.8273,0.8964,5.8589
3.9380,0.9270,5.8714
4.0486,0.9576,5.8849
4.1586,0.9879,5.8917
4.2691,1.0172,5.8970
4.3800,1.0480,5.9007
4.4916,1.0792,5.8977
4.6029,1.1097,5.8946
4.7146,1.1397,5.8990
4.8257,1.1691,5.9060
4.9364,1.1976,5.9070
5.0471,1.2268,5.9052
5.1583,1.2547,5.9065
5.2702,1.2835,5.9022
5.3823,1.3128,5.9021
5.4939,1.3430,5.9120
5.6045,1.3734,5.9216
5.7148,1.4032,5.9262
5.8253,1.4334,5.9291
5.9359,1.4641,5.9268
6.0466,1.4950,5.9180
6.1571,1.5240,5.9141
6.2679,1.5544,5.9054
6.3784,1.5832,5.9016
6.4892,1.6124,5.9028
6.6007,1.6405,5.9078
6.7110,1.6692,5.9130
6.8215,1.6987,5.9270
6.9322,1.7287,5.9302
7.0432,1.7576,5.9291
7.1547,1.7874,5.9223
7.2657,1.8164,5.9027
7.3767,1.8463,5.8787
7.4872,1.8769,5.8677
7.5970,1.9080,5.8567
7.7074,1.9387,5.8511
7.8175,1.9685,5.8635
7.9283,1.9969,5.8819
8.0395,2.0268,5.8985
8.1501,2.0568,5.9221
8.2610,2.0872,5.9421
8.3719,2.1170,5.9525
8.4829,2.1467,5.9584
8.5937,2.1760,5.9607
8.7044,2.2058,5.9582
8.8150,2.2345,5.9577
8.9258,2.2643,5.9621
9.0370,2.2947,5.9623
9.1483,2.3245,5.9533
9.2595,2.3547,5.9415
9.3705,2.3844,5.9149
9.4811,2.4146,5.8759
9.5918,2.4437,5.8477
9.7032,2.4716,5.8329
9.8153,2.5000,5.8226
9.9256,2.5297,5.8392
10.0360,2.5605,5.8729
10.1470,2.5910,5.9009
10.2580,2.6204,5.9286
10.3693,2.6504,5.9540
10.4808,2.6803,5.9640
10.5925,2.7104,5.9675
10.7044,2.7398,5.9718
10.8161,2.7696,5.9739
10.9268,2.7982,5.9715
11.0366,2.8282,5.9638
11.1472,2.8572,5.9533
11.2576,2.8869,5.9346
11.3680,2.9158,5.9068
11.4786,2.9454,5.8844
11.5889,2.9762,5.8790
11.6986,3.0074,5.8755
11.8093,3.0369,5.8814
11.9207,3.0670,5.8965
12.0324,3.0955,5.9120
12.1439,3.1254,5.9160
12.2555,3.1536,5.9177
12.3658,3.1833,5.9192
12.4763,3.2133,5.9221
12.5870,3.2432,5.9253
12.6976,3.2721,5.9264
12.8082,3.3019,5.9225
12.9192,3.3303,5.9176
13.0306,3.3594,5.9119
13.1414,3.3876,5.9057
13.2518,3.4171,5.9106
13.3627,3.4473,5.9262
13.4735,3.4779,5.9410
13.5845,3.5083,5.9472
13.6952,3.5389,5.9483
13.8065,3.5692,5.9388
13.9182,3.6000,5.9277
14.0288,3.6317,5.9165
14.1383,3.6614,5.9129
14.2489,3.6913,5.9129
14.3595,3.7215,5.9200
14.4696,3.7526,5.9197
14.5800,3.7820,5.9165
14.6902,3.8128,5.9126
14.8005,3.8442,5.9046
14.9110,3.8749,5.8806
15.0208,3.9067,5.8573
15.1299,3.9387,5.8291
15.2394,3.9708,5.7830
15.3483,4.0037,5.7359
15.4557,4.0377,5.7092
15.5632,4.0723,5.6943
15.6709,4.1078,5.6936
15.7771,4.1454,5.7174
15.8827,4.1839,5.7486
15.9886,4.2231,5.7628
16.0958,4.2625,5.7566
16.2026,4.3026,5.7397
16.3090,4.3439,5.7225
16.4149,4.3861,5.7129
16.5202,4.4296,5.7179
16.6252,4.4742,5.7425
16.7299,4.5201,5.7788
16.8352,4.5666,5.7984
16.9407,4.6132,5.7882
17.0452,4.6608,5.7716
17.1494,4.7090,5.7429
17.2536,4.7572,5.6933
17.3568,4.8060,5.6636
17.4580,4.8574,5.6739
17.5595,4.9100,5.6858
17.6618,4.9614,5.7005
17.7641,5.0101,5.7374
17.8670,5.0593,5.7679
17.9700,5.1090,5.7825
18.0728,5.1595,5.8015
18.1747,5.2113,5.8318
18.2763,5.2642,5.8604
18.3775,5.3163,5.8799
18.4789,5.3681,5.8951
18.5802,5.4206,5.9059
18.6817,5.4743,5.9001
18.7840,5.5277,5.8780
18.8868,5.5806,5.8570
18.9901,5.6337,5.8310
19.0926,5.6864,5.8090
19.1939,5.7407,5.7999
19.2949,5.7954,5.8063
19.3948,5.8509,5.8163
19.4950,5.9070,5.8202
19.5947,5.9635,5.8168
19.6948,6.0190,5.8084
19.7960,6.0740,5.7986
19.8966,6.1296,5.7906
19.9945,6.1869,5.7953
20.0931,6.2446,5.7918
20.1929,6.3015,5.7888
20.2932,6.3590,5.7786
20.3924,6.4160,5.7701
20.4895,6.4746,5.7736
20.5864,6.5343,5.7912
20.6834,6.5949,5.8007
20.7808,6.6551,5.8132
20.8790,6.7145,5.8267
20.9769,6.7748,5.8271
21.0740,6.8358,5.8299
21.1702,6.8980,5.8471
21.2663,6.9604,5.8601
21.3628,7.0224,5.8623
21.4590,7.0848,5.8615
21.5552,7.1488,5.8512
21.6516,7.2124,5.8318
21.7466,7.2766,5.8203
21.8419,7.3417,5.8092
21.9360,7.4062,5.7831
22.0276,7.4713,5.7446
22.1200,7.5370,5.6973
22.2131,7.6034,5.6435
22.3049,7.6700,5.5925
22.3935,7.7375,5.5427
22.4799,7.8064,5.4889
22.5658,7.8769,5.4365
22.6528,7.9480,5.3768
22.7390,8.0196,5.3117
22.8199,8.0920,5.2721
22.8962,8.1665,5.2621
22.9728,8.2429,5.2464
23.0497,8.3206,5.2151
23.1246,8.3995,5.1683
23.1961,8.4787,5.0884
23.2644,8.5586,4.9886
23.3302,8.6405,4.8930
23.3938,8.7233,4.7899
23.4526,8.8061,4.6629
23.5081,8.8905,4.5220
23.5685,8.9901,4.3579
23.6251,9.0913,4.1635
23.6737,9.1911,3.9819
23.7129,9.2889,3.8778
23.7450,9.3883,3.8575
23.7727,9.4907,3.9032
23.7931,9.5928,4.0175
23.8060,9.6938,4.1802
23.8156,9.7989,4.3381
23.8213,9.9067,4.4695
23.8234,10.0171,4.5943
23.8204,10.1269,4.7390
23.8112,10.2376,4.9081
23.7987,10.3514,5.0830
23.7851,10.4517,5.2652
23.7694,10.5538,5.4504
23.7523,10.6585,5.6000
23.7340,10.7652,5.6911
23.7142,10.8736,5.7377
23.6931,10.9832,5.7471
23.6725,11.0941,5.7272
23.6515,11.2057,5.6963
23.6292,11.3157,5.6885
23.6042,11.4251,5.7174
23.5772,11.5345,5.7709
23.5504,11.6452,5.8229
23.5238,11.7569,5.8666
23.4969,11.8684,5.8825
23.4698,11.9794,5.8779
23.4418,12.0901,5.8613
23.4142,12.2010,5.8481
23.3854,12.3113,5.8405
23.3557,12.4202,5.8529
23.3257,12.5292,5.8610
23.2960,12.6393,5.8687
23.2664,12.7502,5.8773
23.2350,12.8590,5.8965
23.2039,12.9680,5.9073
23.1733,13.0778,5.9241
23.1427,13.1883,5.9405
23.1118,13.2989,5.9537
23.0816,13.4101,5.9565
23.0508,13.5218,5.9572
23.0195,13.6331,5.9537
22.9892,13.7444,5.9445
22.9582,13.8553,5.9351
22.9267,13.9666,5.9306
22.8952,14.0782,5.9286
22.8652,14.1891,5.9273
22.8334,14.2997,5.9369
22.8017,14.4105,5.9499
22.7699,14.5217,5.9581
22.7377,14.6327,5.9660
22.7060,14.7431,5.9710
22.6735,14.8531,5.9677
22.6421,14.9637,5.9597
22.6099,15.0743,5.9518
22.5789,15.1846,5.9410
22.5465,15.2953,5.9338
22.5137,15.4066,5.9294
22.4818,15.5171,5.9304
22.4505,15.6278,5.9350
22.4184,15.7390,5.9392
22.3861,15.8507,5.9459
22.3533,15.9620,5.9541
22.3211,16.0725,5.9524
22.2896,16.1829,5.9442
22.2570,16.2932,5.9388
22.2244,16.4041,5.9269
22.1928,16.5148,5.9113
22.1597,16.6244,5.9098
22.1260,16.7342,5.9148
22.0930,16.8442,5.9121
22.0600,16.9547,5.9114
22.0272,17.0652,5.9115
21.9947,17.1759,5.9002
21.9622,17.2860,5.8859
21.9284,17.3956,5.8861
21.8941,17.5053,5.8826
21.8605,17.6151,5.8760
21.8269,17.7259,5.8792
21.7942,17.8367,5.8801
21.7611,17.9478,5.8674
21.7272,18.0576,5.8667
21.6927,18.1671,5.8766
21.6578,18.2773,5.8813
21.6241,18.3879,5.8963
21.5909,18.4984,5.9206
21.5584,18.6093,5.9365
21.5248,18.7196,5.9459
21.4923,18.8304,5.9482
21.4587,18.9404,5.9391
21.4270,19.0502,5.9246
21.3947,19.1605,5.9089
21.3625,19.2716,5.8886
21.3306,19.3826,5.8778
21.3005,19.4931,5.8756
21.2688,19.6034,5.8830
21.2361,19.7138,5.8918
21.2049,19.8240,5.9053
21.1738,19.9344,5.9162
21.1425,20.0448,5.9203
21.1118,20.1554,5.9113
21.0799,20.2664,5.8977
21.0471,20.3770,5.8784
21.0151,20.4886,5.8599
20.9834,20.6006,5.8460
20.9516,20.7109,5.8377
20.9187,20.8205,5.8415
20.8847,20.9296,5.8540
20.8504,21.0392,5.8528
20.8163,21.1491,5.8306
20.7813,21.2586,5.7984
20.7461,21.3678,5.7525
20.7106,21.4761,5.6902
20.6739,21.5837,5.6296
20.6355,21.6897,5.5823
20.5960,21.7953,5.5394
20.5561,21.9002,5.5021
20.5145,22.0040,5.4836
20.4711,22.1060,5.4859
20.4260,22.2069,5.4925
20.3789,22.3075,5.4858
20.3310,22.4080,5.4645
20.2820,22.5076,5.4274
20.2314,22.6070,5.3715
20.1808,22.7038,5.3205
20.1268,22.7967,5.3013
20.0712,22.8903,5.2987
20.0135,22.9825,5.3001
19.9541,23.0738,5.3097
19.8934,23.1639,5.3195
19.8311,23.2528,5.3210
19.7672,23.3397,5.3298
19.7009,23.4258,5.3582
19.6324,23.5106,5.3978
19.5626,23.5956,5.4346
19.4911,23.6794,5.4585
19.4175,23.7626,5.4614
19.3435,23.8443,5.4269
19.2683,23.9250,5.3464
19.1939,24.0035,5.2529
19.1184,24.0793,5.1849
19.0416,24.1523,5.1456
18.9646,24.2226,5.1416
18.8861,24.2871,5.1880
18.8054,24.3517,5.2424
18.7227,24.4172,5.2627
18.6389,24.4817,5.2605
18.5529,24.5447,5.2493
18.4651,24.6053,5.2282
18.3761,24.6637,5.2135
18.2855,24.7201,5.2190
18.1938,24.7756,5.2392
18.1007,24.8285,5.2600
18.0079,24.8791,5.2742
17.9127,24.9278,5.2863
17.8153,24.9750,5.2934
17.7167,25.0220,5.2985
17.6175,25.0666,5.3230
17.5172,25.1084,5.3720
17.4165,25.1482,5.4267
17.3142,25.1852,5.4718
17.2102,25.2224,5.4984
17.1049,25.2595,5.4946
16.9989,25.2964,5.4522
16.8944,25.3302,5.3932
16.7924,25.3595,5.3449
16.6882,25.3869,5.2983
16.5826,25.4152,5.2587
16.4774,25.4404,5.2524
16.3714,25.4626,5.2738
16.2663,25.4821,5.3184
16.1607,25.4974,5.3983
16.0530,25.5128,5.4799
15.9441,25.5284,5.5369
15.8352,25.5410,5.5808
15.7247,25.5530,5.6081
15.6129,25.5638,5.6176
15.5002,25.5736,5.6361
15.3871,25.5820,5.6745
15.2733,25.5887,5.7200
15.1590,25.5944,5.7678
15.0446,25.5996,5.8139
14.9296,25.6043,5.8349
14.8143,25.6087,5.8163
14.6990,25.6127,5.7820
14.5841,25.6154,5.7389
14.4695,25.6195,5.6904
14.3582,25.6210,5.6761
14.2478,25.6192,5.7200
14.1360,25.6167,5.7732
14.0231,25.6151,5.8248
13.9093,25.6140,5.8778
13.7946,25.6121,5.9131
13.6791,25.6104,5.9129
13.5640,25.6091,5.9126
13.4486,25.6093,5.9160
13.3328,25.6086,5.9177
13.2169,25.6073,5.9109
13.1011,25.6075,5.9114
12.9849,25.6068,5.8901
12.8688,25.6054,5.8505
12.7538,25.6043,5.8045
12.6386,25.6045,5.7697
12.5237,25.6050,5.7328
12.4117,25.6031,5.7235
12.3009,25.5991,5.7462
12.1887,25.5946,5.7837
12.0754,25.5897,5.8154
11.9616,25.5840,5.8418
11.8473,25.5800,5.8673
11.7318,25.5766,5.8826
11.6162,25.5727,5.8894
11.5010,25.5702,5.8995
11.3858,25.5682,5.9168
11.2704,25.5655,5.9198
11.1549,25.5639,5.9185
11.0391,25.5616,5.9190
10.9235,25.5609,5.9250
10.8075,25.5601,5.9283
10.6915,25.5587,5.9400
10.5757,25.5567,5.9514
10.4602,25.5559,5.9599
10.3446,25.5543,5.9584
10.2292,25.5532,5.9444
10.1134,25.5527,5.8965
9.9974,25.5512,5.8264
9.8816,25.5506,5.7581
9.7660,25.5509,5.6812
9.6519,25.5497,5.6192
9.5417,25.5456,5.6144
9.4312,25.5385,5.6502
9.3194,25.5331,5.6880
9.2064,25.5287,5.7452
9.0930,25.5254,5.8048
8.9790,25.5229,5.8433
8.8640,25.5196,5.8641
8.7487,25.5155,5.8822
8.6334,25.5126,5.8954
8.5178,25.5107,5.9080
8.4021,25.5082,5.9074
8.2863,25.5060,5.9038
8.1708,25.5050,5.9029
8.0552,25.5028,5.9016
7.9394,25.5001,5.8960
7.8234,25.4984,5.9044
7.7078,25.4979,5.9137
7.5922,25.4959,5.9030
7.4763,25.4948,5.8702
7.3601,25.4943,5.8319
7.2436,25.4929,5.7844
7.1284,25.4922,5.7246
7.0165,25.4888,5.6838
6.9042,25.4833,5.6821
6.7908,25.4775,5.6859
6.6768,25.4713,5.6929
6.5626,25.4675,5.7249
6.4482,25.4659,5.7718
6.3329,25.4643,5.7959
6.2170,25.4615,5.8281
6.1011,25.4580,5.8565
5.9858,25.4557,5.8774
5.8703,25.4545,5.8828
5.7546,25.4516,5.8903
5.6392,25.4488,5.8815
5.5239,25.4478,5.8832
5.4085,25.4457,5.8730
5.2935,25.4427,5.8465
5.1782,25.4409,5.8079
5.0630,25.4402,5.7816
4.9472,25.4392,5.7356
4.8317,25.4375,5.6941
4.7192,25.4336,5.6897
4.6067,25.4278,5.7161
4.4934,25.4213,5.7386
4.3794,25.4163,5.7762
4.2650,25.4133,5.8287
4.1500,25.4096,5.8575
4.0343,25.4055,5.8661
3.9186,25.4017,5.8736
3.8031,25.3994,5.8850
3.6875,25.3976,5.8852
3.5717,25.3942,5.8802
3.4562,25.3922,5.8840
3.3405,25.3911,5.8847
3.2244,25.3888,5.8830
3.1087,25.3863,5.8760
2.9933,25.3861,5.8768
2.8778,25.3856,5.8411
2.7620,25.3834,5.8016
2.6465,25.3815,5.7534
2.5310,25.3811,5.7029
2.4167,25.3797,5.6588
2.3052,25.3747,5.6713
2.1929,25.3681,5.7081
2.0798,25.3626,5.7455
1.9659,25.3583,5.7887
1.8515,25.3549,5.8252
1.7368,25.3505,5.8341
1.6215,25.3457,5.8222
1.5069,25.3422,5.8184
1.3920,25.3400,5.8207
1.2768,25.3389,5.8294
1.1609,25.3366,5.8390
1.0449,25.3336,5.8532
0.9290,25.3312,5.8578
0.8133,25.3305,5.8662
0.6973,25.3292,5.8569
0.5812,25.3270,5.8366
0.4659,25.3250,5.8032
0.3509,25.3254,5.7755
0.2355,25.3249,5.7392
0.1198,25.3234,5.7163
0.0066,25.3203,5.7068
-0.1052,25.3155,5.7201
-0.2176,25.3099,5.7397
-0.3309,25.3037,5.7526
-0.4448,25.2990,5.7706
-0.5594,25.2957,5.7929
-0.6746,25.2934,5.8115
-0.7901,25.2905,5.8255
-0.9049,25.2859,5.8512
-1.0196,25.2827,5.8655
-1.1345,25.2802,5.8796
-1.2496,25.2783,5.8857
-1.3647,25.2752,5.8933
-1.4800,25.2726,5.8943
-1.5954,25.2711,5.9096
-1.7110,25.2703,5.9236
-1.8269,25.2685,5.9334
-1.9424,25.2667,5.9134
-2.0580,25.2661,5.8757
-2.1738,25.2645,5.8279
-2.2898,25.2635,5.7579
-2.4042,25.2623,5.6880
-2.5155,25.2577,5.6702
-2.6275,25.2514,5.6934
-2.7406,25.2445,5.7155
-2.8542,25.2399,5.7650
-2.9683,25.2371,5.8333
-3.0828,25.2334,5.8746
-3.1983,25.2302,5.8885
-3.3139,25.2264,5.9011
-3.4290,25.2243,5.9059
-3.5445,25.2223,5.8941
-3.6603,25.2191,5.8810
-3.7760,25.2171,5.8706
-3.8915,25.2162,5.8657
-4.0069,25.2140,5.8631
-4.1222,25.2110,5.8688
-4.2373,25.2090,5.8790
-4.3526,25.2078,5.8996
-4.4680,25.2072,5.9194
-4.5838,25.2059,5.9310
-4.6995,25.2045,5.9350
-4.8153,25.2043,5.9352
-4.9314,25.2032,5.9245
-5.0475,25.2021,5.9088
-5.1632,25.2027,5.8986
-5.2788,25.2022,5.8906
-5.3947,25.2009,5.8830
-5.5102,25.2002,5.8765
-5.6259,25.2008,5.8730
-5.7417,25.2002,5.8643
-5.8575,25.1989,5.8583
-5.9731,25.1987,5.8578
-6.0887,25.1997,5.8507
-6.2048,25.1996,5.8186
-6.3207,25.1983,5.7847
-6.4363,25.1974,5.7380
-6.5518,25.1977,5.6738
-6.6649,25.1966,5.6293
-6.7747,25.1919,5.6375
-6.8859,25.1858,5.6611
-6.9982,25.1815,5.7075
-7.1112,25.1790,5.7774
-7.2251,25.1768,5.8327
-7.3396,25.1736,5.8622
-7.4552,25.1704,5.8866
-7.5712,25.1665,5.8875
-7.6870,25.1636,5.8651
-7.8026,25.1622,5.8292
-7.9182,25.1595,5.7839
-8.0336,25.1567,5.7327
-8.1485,25.1554,5.7041
-8.2599,25.1555,5.7072
-8.3712,25.1585,5.7432
-8.4835,25.1621,5.7907
-8.5973,25.1654,5.8319
-8.7118,25.1693,5.8558
-8.8268,25.1728,5.8619
-8.9421,25.1753,5.8537
-9.0578,25.1773,5.8470
-9.1737,25.1786,5.8531
-9.2898,25.1787,5.8633
-9.4064,25.1794,5.8654
-9.5225,25.1813,5.8708
-9.6383,25.1826,5.8629
-9.7539,25.1829,5.8425
-9.8691,25.1844,5.8283
-9.9846,25.1876,5.8286
-10.1003,25.1901,5.8223
-10.2161,25.1917,5.8286
-10.3321,25.1920,5.8487
-10.4483,25.1918,5.8657
-10.5641,25.1923,5.8805
-10.6798,25.1936,5.8980
-10.7957,25.1937,5.9119
-10.9118,25.1931,5.9249
-11.0269,25.1932,5.9305
-11.1422,25.1937,5.9275
-11.2578,25.1929,5.9114
-11.3730,25.1936,5.8983
-11.4882,25.1946,5.8677
-11.6036,25.1936,5.8455
-11.7187,25.1932,5.8294
-11.8338,25.1953,5.8348
-11.9492,25.1965,5.8362
-12.0648,25.1963,5.8596
-12.1807,25.1955,5.8811
-12.2966,25.1950,5.8979
-12.4125,25.1956,5.9020
-12.5281,25.1951,5.9014
-12.6435,25.1949,5.8864
-12.7589,25.1962,5.8729
-12.8745,25.1963,5.8615
-12.9904,25.1952,5.8560
-13.1058,25.1953,5.8586
-13.2210,25.1967,5.8678
-13.3365,25.1969,5.8635
-13.4525,25.1968,5.8355
-13.5690,25.1961,5.7898
-13.6852,25.1955,5.7416
-13.8006,25.1967,5.6903
-13.9144,25.1962,5.6524
-14.0251,25.1920,5.6587
-14.1367,25.1869,5.6968
-14.2494,25.1813,5.7342
-14.3627,25.1764,5.7773
-14.4766,25.1728,5.8251
-14.5916,25.1704,5.8645
-14.7075,25.1681,5.8707
-14.8237,25.1650,5.8519
-14.9400,25.1623,5.8194
-15.0559,25.1605,5.7756
-15.1715,25.1591,5.7008
-15.2853,25.1561,5.6541
-15.3961,25.1499,5.6555
-15.5081,25.1429,5.6726
-15.6208,25.1369,5.7056
-15.7342,25.1335,5.7684
-15.8482,25.1303,5.8210
-15.9630,25.1261,5.8365
-16.0785,25.1220,5.8245
-16.1935,25.1168,5.7991
-16.3084,25.1133,5.7532
-16.4234,25.1108,5.6961
-16.5357,25.1062,5.6702
-16.6473,25.0988,5.6883
-16.7600,25.0907,5.7114
-16.8735,25.0855,5.7631
-16.9879,25.0816,5.8307
-17.1029,25.0767,5.8581
-17.2185,25.0719,5.8499
-17.3343,25.0666,5.8308
-17.4495,25.0619,5.7779
-17.5641,25.0572,5.7103
-17.6765,25.0496,5.6785
-17.7894,25.0399,5.6737
-17.9031,25.0320,5.6849
-18.0171,25.0254,5.7278
-18.1314,25.0201,5.7795
